Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,coding_assignment,,text,Record ID,,,,,,,,,,,,,
quorum_id_number,coding_assignment,,text,Quorum ID Number [DO NOT EDIT THIS],,Please input the Quorum ID number of the post,integer,0,1E+14,y,,y,,,,,
dbl_code,coding_assignment,,yesno,Double Code?,,,,,,,,y,,,,,
coder,coding_assignment,,dropdown,Coder Name,"1, VA | 2, IN | 3, JKV | 4, OB | 5, AS | 6, AC | 7, KK | 99, Other",,,,,,,,,,,,
coder_2,coding_assignment,,dropdown,Coder 2 Name,"1, VA | 2, IN | 3, JKV | 4, OB | 5, AS | 6, AC | 7, KK | 99, Other",,,,,,[dbl_code] = '1',,,,,,
tweet,coding_assignment,,notes,Tweet: Please copy and paste tweet into this text box,,,,,,,,,,,,,
specific_event,xtwitter_coding_instrument,"GENERAL CONTENT ANALYSIS

Descriptions of Gun Violence: How the post describes the characteristics of gun violence

[tweet]",radio,Does the post mention/refer to a specific event or category of gun violence?,"1, Yes | 0, No",,,,,,,,,,event_descriptions,,"As opposed to ""gun violence"" at large"
location,xtwitter_coding_instrument,,radio,Does the post mention/refer to a specific location of a specific shooting or where violence occurs?,"1, Yes | 0, No",,,,,,,,,,event_descriptions,,
relationship,xtwitter_coding_instrument,,radio,Does the post mention/refer to the shooter's relationship to victim?,"1, Yes | 0, No",,,,,,,,,,event_descriptions,,
vigil,xtwitter_coding_instrument,,radio,"Does the post mention a non-legislative vigil/remembrance event/campaign (ex. wear orange)/or awareness period? (If it includes a call to action such as attend or wear, please select the call to action accordingly)","1, Yes | 0, No",,,,,,,,,,event_descriptions,,
persons_mentioned,xtwitter_coding_instrument,,checkbox,"Who specifically, if anyone, is mentioned in the post?","1, Victim only (Select this if victim and shooter are the same - for instance in the setting of self-directed violence) | 2, Shooter only | 3, Victim and Shooter | 4, No mention of victim or shooter in this post",,,,,,,,,,,,
type_of_shooting,xtwitter_coding_instrument,,checkbox,Type of Shooting,"1, Mass Shooting | 2, Suicide or Intentional Self-Inflicted Harm | 3, Unintentional or Accidental Injury | 4, Interpersonal or Community Violence | 5, Other",,,,,,[specific_event] = '1',,,,,,
other_shooting,xtwitter_coding_instrument,,text,Specify Other Type of Shooting,,,,,,,[type_of_shooting(5)] = '1',,,,,,
type_of_location,xtwitter_coding_instrument,,checkbox,Type of Location Specified,"1, School/School Grounds | 2, Home | 3, Place of Worship | 4, Neighborhood/Community | 5, Place of Business | 6, City/County | 7, Other",,,,,,[location] = '1',,,,,,
other_location,xtwitter_coding_instrument,,text,Specify Other Location,,,,,,,[type_of_location(7)] = '1',,,,,,
type_of_relationship,xtwitter_coding_instrument,,checkbox,Relationship of Shooter to the Victim,"1, Intimate Partner | 2, Parent/Guardian | 3, Family Member | 4, Law Enforcement | 5, Other Authority Figure | 6, Unknown to Victim | 7, Other Relationship",,,,,,[relationship] = '1',,,,,,"Specific references to violence towards a spouse, intimate partner, dating partner, or a person with whom someone shares a child
violence directed towards a child enacted by parent/guardian
that is not parent or guardian (sibling for example)
Includes teacher, school personnel, counselor
Has to specifically say that shooter was unknown to victim"
other_relationship,xtwitter_coding_instrument,,text,Specify Other Relationship,,,,,,,[type_of_relationship(7)] = '1',,,,,,
expressions,xtwitter_coding_instrument,"Expressions: Times that we see clear cut examples of emotions from these three categories. 

[tweet]",checkbox,Expressions Used in Tweets,"1, ""Thoughts and Prayers"" or a variation of this | 2, Solidarity | 3, Remembrance | 4, None of the Above",,,,,,,,,,,,
gcall_to_action,xtwitter_coding_instrument,"Call to Action: A ""call to action"" in media coverage is defined as any information that the public can utilize to facilitate individual or collective action.

[tweet]",radio,General Call to Action,"1, Yes | 0, No",,,,,,,,,,c2a,,
scall_to_action,xtwitter_coding_instrument,,radio,Specific Call to Action,"1, Yes | 0, No",,,,,,,,,,c2a,,
voting_c2a,xtwitter_coding_instrument,,radio,Is the Specific Call to Action to Vote?,"1, Yes | 0, No",,,,,,[scall_to_action] = '1',,,,c2a,,"Many tweets say to ""vote"" or something equivalent, which is why this field is added"
victim_race,xtwitter_coding_instrument,"Victim(s) Characteristics
Please select N/A if a victim is not named or mentioned
**If the shooter is also the victim (ie in the case of suicide, self-inflicted, unintentional, or accidental) make sure it is specified type of shooting above and please only fill out the ""victim"" characteristics
[tweet]",checkbox,Does the post mention/refer to their race or ethnicity?,"1, Yes",,,,,,[persons_mentioned(1)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_v,,
victim_age,xtwitter_coding_instrument,,checkbox,Does the post mention/refer to the their age?,"1, Yes",,,,,,[persons_mentioned(1)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_v,,
victim_sex_gender,xtwitter_coding_instrument,,checkbox,"Does the post mention/refer to their sex, gender, or sexual orientation?","1, Yes",,,,,,[persons_mentioned(1)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_v,,
victim_criminal,xtwitter_coding_instrument,,checkbox,"Does the post reference to criminal and/or civil record, incarceration, or interaction with criminal justice system?","1, Yes",,,,,,[persons_mentioned(1)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_v,,
victim_mental,xtwitter_coding_instrument,,checkbox,"Does the post mention/refer to the shooter's mental, behavioral, or psychiatric health?","1, Yes",,,,,,[persons_mentioned(1)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_v,,
victim_veteran,xtwitter_coding_instrument,,checkbox,"Does the post mention veteran status for the victim ? (if self-inflicted, please only input in victim characteristics)","1, Yes",,,,,,[persons_mentioned(1)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_v,,
victim_stigma,xtwitter_coding_instrument,,checkbox,Is stigmatizing language used in reference to the victim?,"1, Yes",,,,,,[persons_mentioned(1)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_v,,
victim_age_1,xtwitter_coding_instrument,,checkbox,Age of victim mentioned,"1, 0-17y | 2, 18-34y | 3, 35-64y | 4, 65+",,,,,,[victim_age(1)] = '1',,,,,,
victim_race_1,xtwitter_coding_instrument,,checkbox,Race or ethnicity mentioned,"1, Black | 2, White | 3, Hispanic or Latino | 4, Asian (Includes Asian American, Native Hawaiian or Pacific Islander) | 5, Indigenous (includes American Indian or Alaska Native) | 6, General mention of ""race/racial"" or ""ethnicity"" | 7, Other",,,,,,[victim_race(1)] = '1',,,,,,
victim_race_other,xtwitter_coding_instrument,,text,"If other race, please specify",,,,,,,[victim_race_1(7)] = '1',,,,,,
victim_sex_gender1,xtwitter_coding_instrument,,checkbox,"Sex, Gender, or Sexual Orientation mentioned","1, Male | 2, Female | 3, Trans, Non-Binary, or LGBTQIA identities mentioned | 4, No mention",,,,,,[victim_sex_gender(1)] = '1',,,,,,
victim_specify_sex,xtwitter_coding_instrument,,checkbox,Any specifications from the dropdown provided?,"1, Cis-Male | 2, Trans-Male | 3, Cis-Female | 4, Trans-Female | 5, Non-Binary | 6, Transgender | 7, Lesbian/Gay | 8, Bisexual | 9, Queer | 10, Intersex | 11, Asexual | 12, Other",,,,,,[victim_sex_gender1(3)] = '1',,,,,,
victim_sex_other,xtwitter_coding_instrument,,text,"Other sex, gender, or sexual orientation mentioned",,,,,,,[victim_specify_sex(12)] = '1',,,,,,
victim_mental1,xtwitter_coding_instrument,,checkbox,Specific descriptions of mental health,"1, General Mental Health or Illness | 2, Depression | 3, Anxiety | 4, PTSD | 5, Psychosis | 6, Schizophrenia | 7, History of Psychiatric Hospitalization | 8, Other",,,,,,[victim_mental(1)] = '1',,,,,,
victim_mental_other,xtwitter_coding_instrument,,text,Specify other mental health description,,,,,,,[victim_mental1(8)] = '1',,,,,,
shooter_race,xtwitter_coding_instrument,"Shooter(s) Characteristics
Please select N/A if a victim is not named or mentioned
**If the shooter is also the victim (ie in the case of suicide, self-inflicted, unintentional, or accidental) make sure it is specified type of shooting above and please only fill out the ""victim"" characteristics
[tweet]",checkbox,Does the post mention/refer to their race or ethnicity?,"1, Yes",,,,,,[persons_mentioned(2)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_s,,
shooter_age,xtwitter_coding_instrument,,checkbox,Does the post mention/refer to the their age?,"1, Yes",,,,,,[persons_mentioned(2)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_s,,
shooter_sex_gender,xtwitter_coding_instrument,,checkbox,"Does the post mention/refer to their sex, gender, or sexual orientation?","1, Yes",,,,,,[persons_mentioned(2)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_s,,
shooter_criminal,xtwitter_coding_instrument,,checkbox,"Does the post reference to criminal and/or civil record, incarceration, or interaction with criminal justice system?","1, Yes",,,,,,[persons_mentioned(2)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_s,,
shooter_mental,xtwitter_coding_instrument,,checkbox,"Does the post mention/refer to the shooter's mental, behavioral, or psychiatric health?","1, Yes",,,,,,[persons_mentioned(2)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_s,,
shooter_veteran,xtwitter_coding_instrument,,checkbox,"Does the post mention veteran status for the victim ? (if self-inflicted, please only input in victim characteristics)","1, Yes",,,,,,[persons_mentioned(2)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_s,,
shooter_stigma,xtwitter_coding_instrument,,checkbox,Is stigmatizing language used in reference to the victim?,"1, Yes",,,,,,[persons_mentioned(2)] = '1' or [persons_mentioned(3)] = '1',,,,characteristics_s,,
shooter_race_1,xtwitter_coding_instrument,,checkbox,Race or ethnicity mentioned,"1, Black | 2, White | 3, Hispanic or Latino | 4, Asian (Includes Asian American, Native Hawaiian or Pacific Islander) | 5, Indigenous (includes American Indian or Alaska Native) | 6, General mention of ""race/racial"" or ""ethnicity"" | 7, Other",,,,,,[shooter_race(1)] = '1',,,,,,
shooter_race_other,xtwitter_coding_instrument,,text,"If other race, please specify",,,,,,,[shooter_race_1(7)] = '1',,,,,,
shooter_age_1,xtwitter_coding_instrument,,checkbox,Age of shooter mentioned,"1, 0-17y | 2, 18-34y | 3, 35-64y | 4, 65+",,,,,,[shooter_age(1)] = '1',,,,,,
shooter_sex_gender1,xtwitter_coding_instrument,,checkbox,"Sex, Gender, or Sexual Orientation mentioned","1, Male | 2, Female | 3, Trans, Non-Binary, or LGBTQIA identities mentioned",,,,,,[shooter_sex_gender(1)] = '1',,,,,,
shooter_specify_sex,xtwitter_coding_instrument,,checkbox,Any specifications from the dropdown provided?,"1, Cis-Male | 2, Trans-Male | 3, Cis-Female | 4, Trans-Female | 5, Non-Binary | 6, Transgender | 7, Lesbian/Gay | 8, Bisexual | 9, Queer | 10, Intersex | 11, Asexual | 12, Other",,,,,,[shooter_sex_gender1(3)] = '1',,,,,,
shooter_sex_other,xtwitter_coding_instrument,,text,"Other sex, gender, or sexual orientation mentioned",,,,,,,[shooter_specify_sex(12)] = '1',,,,,,
shooter_mental1,xtwitter_coding_instrument,,checkbox,Specific descriptions of mental health,"1, General Mental Health or Illness | 2, Depression | 3, Anxiety | 4, PTSD | 5, Psychosis | 6, Schizophrenia | 7, History of Psychiatric Hospitalization | 8, Other",,,,,,[shooter_mental(1)] = '1',,,,,,
shooter_mental_other,xtwitter_coding_instrument,,text,Specify other mental health description,,,,,,,[shooter_mental1(8)] = '1',,,,,,
framing,xtwitter_coding_instrument,"ISSUE FRAMING

Framing: Framing refers to ""underlying structures of belief, perception and appreciation"" on which distinct policy positions depend. It influences the way the issue is constructed, which is critical in influencing which actors get engaged in each process, the policy solutions proposed and the potential windows of opportunity that they were able to open.

[tweet]",checkbox,What frames are used in the tweet/post?,"1, Morality (Sense of Right/Wrong NOT Emotion) | 2, Advocacy/Endorsement | 3, Emotional Appeal or Moral Outrage (Sympathy, Sorrow, Tragedy, or Sense of Injustice) | 4, Cultural Identity | 5, Equality or Equity | 6, Criminology/Policing | 7, Constitutionality/Jurisprudence | 8, Security/Defense/Protection | 9, Public Opinion | 10, Health and/or Public Health | 11, Partisan | 12, Informational (ENTIRE tweet must be informational, is statistics are related to health/public health [ex. morbidity/mortality] make sure to check that as well) | 13, Religiosity or Spirituality | 14, None of the Above Fit",,,,,,,,,,,,
